tsne_1,tsne_2,label,name,type
11.84282,-2.8456857,4,CC(C(F)(F)F)C(F)(F)F,main
2.0579174,5.4206524,6,CCOC(F)(F)C(F)(C(F)(F)F)C(F)(F)F,main
1.0635709,5.7544203,6,COC(F)(F)C(F)(C(F)(F)F)C(F)(F)F,main
7.0821905,2.836234,0,FC(F)(F)C(F)(OC1CCO1)C(F)(F)F,main
7.502963,3.269704,0,FC(F)(F)C(OC1CCO1)(C(F)(F)F)C(F)(F)F,main
0.9629954,-0.7412495,5,C[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)C,main
1.1650287,-1.2958782,5,C[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)C,main
0.7066281,-0.32444605,5,C[Si](C)(C)O[Si](C)(C)O[Si](C)(C)C,main
0.16216516,-0.20728423,5,C[Si](C)(C)O[Si](C)(C)C,main
1.9877661,-0.20830305,5,C[Si]1(C)O[Si](C)(C)O[Si](C)(C)O1,main
2.0579658,-0.5499577,5,C[Si]1(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O1,main
2.130341,-0.99077237,5,C[Si]1(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O1,main
-18.012466,-8.283517,3,FC(F)(F)c1ccc(C(F)(F)F)c(C(F)(F)F)c1,main
-19.495186,-6.0892725,3,FC(F)(F)C(F)(F)C(F)(F)c1ccc2ccccc2c1,main
11.907155,-2.983268,4,CC(C)(C)C(F)(F)F,main
11.714043,1.9497473,0,FC(F)(F)C(F)(F)OC(F)(F)C(F)(F)F,main
1.3471444,6.115616,6,COC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,main
2.587543,6.284166,6,CCOC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,main
1.6825165,6.4604936,6,COC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,main
-18.450153,-8.357281,3,FC(F)(F)C(c1ccccc1)(C(F)(F)F)C(F)(F)F,main
-17.780693,-7.4480085,3,FC(F)(F)C(F)(c1ccccc1)C(F)(F)F,main
-17.573711,-7.7554975,3,FC(F)(F)C(F)(F)C(F)(F)c1ccccc1,main
13.166516,-1.8061119,4,FC(F)(F)C(C1CC1)C(F)(F)F,main
13.439355,-1.004575,4,FC(F)(F)C(F)(F)C(F)(F)C1CCCC1,main
13.51376,-2.4138134,4,FC(F)(F)C1CCCC1,main
13.55013,-0.5878441,4,FC(F)(F)C(C1CCCCC1)(C(F)(F)F)C(F)(F)F,main
13.41306,-0.9126711,4,FC(F)(F)C(F)(C1CCCCC1)C(F)(F)F,main
13.374555,-1.3776932,4,FC(F)(F)C(F)(F)C1CCCCC1,main
9.6141615,1.1668277,4,FC(F)C(F)(F)OCC(F)(F)F,main
0.63299274,3.5728629,6,CCOC(F)(F)C(F)F,main
6.942193,3.2657652,0,FC(F)(F)C(F)(F)C(F)(F)OC1CCOCC1,main
4.7294807,3.278864,0,CC1CC(OC(F)(F)C(F)(F)C(F)(F)F)O1,main
