tsne_1,tsne_2,label,name,type
5.5002065,-6.4557962,6,FC(F)(F)C(F)(F)C(F)(F)OC(F)(C(F)(F)F)C1(F)OC(F)(F)C1(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,main
-22.47443,3.5274215,0,FC(F)COc1cccc(C(F)(F)F)c1,main
-21.79875,-4.5176697,0,Fc1ccc(C2CO2)cc1F,main
-21.176535,-4.2903566,0,FC(F)(F)c1ccc(C2CO2)cc1,main
-26.961428,4.3251343,0,Cc1cccc(F)c1C(F)(F)F,main
-23.073217,1.6307474,0,Cc1ccc(C(F)(F)F)cc1F,main
-26.664341,0.07635433,0,COCc1c(F)c(F)cc(F)c1F,main
11.937795,-1.7167588,4,CO[Si](C)(C)O[Si](C)(O[Si](C)(C)C)C(F)(F)C(F)(F)C(F)(F)F,main
16.627295,1.9176881,2,FC(F)(F)C(F)(F)SCCI,main
-25.628407,3.2268991,0,Fc1cc(F)c(C(F)(F)F)c(F)c1,main
-24.959251,-1.3385631,0,COC(OC)c1ccc(F)c(F)c1F,main
7.0485272,-2.1612766,6,FC(F)(F)C1SCCS1,main
17.972656,2.9689045,2,COCCOCC(F)(F)F,main
18.48295,3.2111936,2,COCCOCC(F)F,main
11.814371,6.9865184,5,C[Si](C)(CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)O[Si](C)(C)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,main
-21.057398,-1.3554262,0,FC(F)COc1ccccc1,main
-20.148354,-0.38380134,0,FCCOc1ccc(C(F)(F)F)cc1,main
-23.075443,-1.165995,0,FCCOc1ccc(F)cc1F,main
-25.564547,-0.84735286,0,FCCOc1c(F)cccc1F,main
4.3776484,-2.2438939,6,C[Si]1(C)OC(C(F)(F)F)(C(F)(F)F)OC1(C(F)(F)F)C(F)(F)F,main
-21.367676,-0.88872,0,Fc1cccc(OCC(F)F)c1,main
18.474117,4.280458,2,FCOCC(F)(F)F,main
-24.926264,3.0164764,0,Cc1ccc(F)cc1C(F)(F)F,main
-21.478586,-4.516843,0,FC(F)(F)c1cccc(C2CO2)c1,main
13.244875,-0.7380274,4,FC(F)(F)OC(F)(F)C(F)(OC(F)(F)C(F)(F)F)C(F)(F)F,main
12.496089,-3.4831116,4,CCO[Si](OCC)(OCC)O[Si](CC)(CC(F)(F)C(F)(F)C(F)(F)F)O[Si](CC)(CC)CC,main
7.5230165,-4.338152,6,FC(F)(F)C(F)(F)C(F)(F)OCC1CO1,main
3.168141,-1.0655987,1,FC(F)(F)[Si]1(C(F)(F)F)O[Si](C(F)(F)F)(C(F)(F)F)O[Si](C(F)(F)F)(C(F)(F)F)O1,main
2.7657807,-0.9738817,1,FC(F)(F)[Si]1(C(F)(F)F)O[Si](C(F)(F)F)(C(F)(F)F)O[Si](C(F)(F)F)(C(F)(F)F)O[Si](C(F)(F)F)(C(F)(F)F)O1,main
-20.583578,0.12841126,0,COCc1ccc(C(F)(F)F)cc1,main
15.423248,1.5002139,2,FC(F)(F)C(F)(F)SC(F)(F)C(F)(F)F,main
-23.749878,2.1996636,0,Cc1ccc(C(F)(F)F)c(F)c1,main
-21.11279,1.2893065,0,COCc1ccc(C(F)(F)F)c(F)c1,main
15.654469,0.18846159,2,FC(F)C(F)(F)OCC(F)(F)C(F)(F)C(F)(F)C(F)F,main
14.774898,-1.8065162,2,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)OC(F)(F)C(F)(C(F)(F)F)C(F)(F)F,main
